record_id,category,incident_datetime,state,city,person_name,person_age,person_gender,contact_number,record_status,crime_type,platform_involved,,financial_loss_inr,caller_number,callee_number,call_duration_sec,call_type,tower_location,imei_number,fir_number,police_station,complaint_category,officer_assigned,fir_status,platform_name,account_handle,theft_type,followers_count,recovery_status,transaction_id,bank_name,account_number_masked,transaction_amount_inr,transaction_type,merchant_name,fraud_flag,description
REC006253,Social Media Theft,6/26/2024 18:25,Tamil Nadu,Madurai,Tarun Singh,54,Male,9.18826E+11,Escalated,,,,,,,,,,,,,,,,LinkedIn,@tarun_singh376,Account Hacked,49204,Not Recovered,,,,,,,,Account Hacked reported on LinkedIn account.
REC004685,Online FIR,6/26/2025 8:00,Delhi,New Delhi,Anjali Yadav,49,Female,9.18436E+11,Closed,,,,,,,,,,,FIR/2025/83874,New Delhi Cyber Crime PS,Identity Theft,SI Arjun Mishra,Chargesheet Filed,,,,,,,,,,,,,"Online FIR filed for Identity Theft, current status: Chargesheet Filed."
REC001732,Cybercrime,12/30/2025 4:02,Rajasthan,Jodhpur,Sakshi Chauhan,44,Female,9.17138E+11,Resolved,Malware Attack,Website,,0,,,,,,,,,,,,,,,,,,,,,,,,"Malware Attack reported via Website, financial loss INR 0.00."
REC004743,Online FIR,8/2/2023 5:50,Andhra Pradesh,Vijayawada,Ritika Rao,41,Female,9.16446E+11,Resolved,,,,,,,,,,,FIR/2023/74288,Vijayawada Cyber Crime PS,Data Theft,Inspector Tarun Bose,Chargesheet Filed,,,,,,,,,,,,,"Online FIR filed for Data Theft, current status: Chargesheet Filed."
REC004522,Online FIR,2/27/2023 1:13,Rajasthan,Jaipur,Suresh Choudhary,61,Male,9.17544E+11,Resolved,,,,,,,,,,,FIR/2023/49010,Jaipur Cyber Crime PS,Financial Fraud,Constable Sakshi Yadav,Pending Verification,,,,,,,,,,,,,"Online FIR filed for Financial Fraud, current status: Pending Verification."
REC006341,Social Media Theft,7/15/2025 16:30,Tamil Nadu,Coimbatore,Manish Chauhan,54,Male,9.19036E+11,Escalated,,,,,,,,,,,,,,,,WhatsApp,@manish_chauhan13,Impersonation,69793,Not Recovered,,,,,,,,Impersonation reported on WhatsApp account.
REC000577,Cybercrime,9/13/2023 3:14,Haryana,Gurugram,Preeti Mishra,51,Female,9.19056E+11,Under Review,Hacking,Social Media,,0,,,,,,,,,,,,,,,,,,,,,,,,"Hacking reported via Social Media, financial loss INR 0.00."
REC005203,Online FIR,5/29/2026 3:32,Delhi,Dwarka,Vikram Das,69,Male,9.16118E+11,Under Review,,,,,,,,,,,FIR/2026/11355,Dwarka Cyber Crime PS,Cyber Fraud,SI Naveen Ghosh,Closed,,,,,,,,,,,,,"Online FIR filed for Cyber Fraud, current status: Closed."
REC006364,Social Media Theft,10/19/2023 21:56,Telangana,Warangal,Komal Choudhary,45,Female,9.18992E+11,Open,,,,,,,,,,,,,,,,Instagram,@komal_choudhary375,Fake Profile Created,98520,Not Recovered,,,,,,,,Fake Profile Created reported on Instagram account.
REC000440,Cybercrime,8/22/2026 23:15,Madhya Pradesh,Gwalior,Isha Bose,45,Female,9.17341E+11,Under Review,QR Code Fraud,Email,,0,,,,,,,,,,,,,,,,,,,,,,,,"QR Code Fraud reported via Email, financial loss INR 0.00."
REC002751,Call Data Record,1/3/2026 2:28,Karnataka,Bengaluru,Naveen Agarwal,56,Male,9.19617E+11,Closed,,,,,9.17551E+11,9.1683E+11,3282,Incoming,Mumbai,2.639E+13,,,,,,,,,,,,,,,,,,Incoming call of duration 3282s logged via Rajasthan circle.
REC007488,Social Media Theft,5/13/2026 1:11,Bihar,Gaya,Ankit Nair,45,Male,9.18705E+11,Open,,,,,,,,,,,,,,,,Telegram,@ankit_nair182,Account Hacked,190980,Recovered,,,,,,,,Account Hacked reported on Telegram account.
REC005273,Online FIR,8/29/2023 1:36,Karnataka,Bengaluru,Riya Chauhan,23,Female,9.1634E+11,Resolved,,,,,,,,,,,FIR/2025/15341,Bengaluru Cyber Crime PS,Identity Theft,ASI Aanya Malhotra,Filed,,,,,,,,,,,,,"Online FIR filed for Identity Theft, current status: Filed."
REC005654,Online FIR,5/25/2023 7:19,Gujarat,Vadodara,Sandeep Gupta,63,Male,9.17185E+11,Escalated,,,,,,,,,,,FIR/2023/46967,Vadodara Cyber Crime PS,Online Impersonation,SI Siddharth Das,Under Investigation,,,,,,,,,,,,,"Online FIR filed for Online Impersonation, current status: Under Investigation."
REC004000,Call Data Record,8/23/2024 11:33,Telangana,Warangal,Aarti Reddy,33,Female,9.17875E+11,Closed,,,,,9.16156E+11,9.19626E+11,1732,Outgoing,Gujarat,4.56878E+14,,,,,,,,,,,,,,,,,,Outgoing call of duration 1732s logged via UP East circle.
REC006034,Social Media Theft,9/7/2025 22:59,Bihar,Patna,Ananya Ghosh,33,Female,9.18505E+11,Under Review,,,,,,,,,,,,,,,,Twitter/X,@ananya_ghosh597,Password Compromised,55278,Recovered,,,,,,,,Password Compromised reported on Twitter/X account.
REC000583,Cybercrime,7/31/2025 14:11,Rajasthan,Jaipur,Preeti Nair,35,Female,9.16476E+11,Closed,Credit Card Skimming,Social Media,,0,,,,,,,,,,,,,,,,,,,,,,,,"Credit Card Skimming reported via Social Media, financial loss INR 0.00."
REC009931,Online Bank Transaction,6/15/2024 4:48,Delhi,New Delhi,Preeti Gupta,67,Female,9.19807E+11,Under Review,,,,,,,,,,,,,,,,,,,,,TXN101041356456,Punjab National Bank,XXXX5163,107796,NEFT,BigBasket,Yes,"NEFT transaction of INR 107,796.00, fraud_flag=Yes."
REC007052,Social Media Theft,8/20/2026 15:12,Punjab,Chandigarh,Meera Mehta,42,Female,9.19791E+11,Under Review,,,,,,,,,,,,,,,,Instagram,@meera_mehta478,Impersonation,78651,Pending,,,,,,,,Impersonation reported on Instagram account.
REC008159,Online Bank Transaction,4/18/2026 15:58,Madhya Pradesh,Bhopal,Rajesh Pillai,26,Male,9.19751E+11,Open,,,,,,,,,,,,,,,,,,,,,TXN405393803570,Kotak Mahindra Bank,XXXX7890,126478.12,NEFT,Flipkart,No,"NEFT transaction of INR 126,478.12, fraud_flag=No."
REC009897,Online Bank Transaction,3/12/2024 17:07,Bihar,Gaya,Aditya Patel,38,Male,9.19325E+11,Under Review,,,,,,,,,,,,,,,,,,,,,TXN841004234652,HDFC Bank,XXXX8978,23206.65,IMPS,Uber,No,"IMPS transaction of INR 23,206.65, fraud_flag=No."
